country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",20-03-2026 16:00,22.969611,72.6435,PM10,31,438,155
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",20-03-2026 16:00,30.379589,76.778328,PM2.5,38,101,53
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",20-03-2026 16:00,30.379589,76.778328,NO2,7,12,10
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",20-03-2026 16:00,30.379589,76.778328,NH3,7,8,8
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",20-03-2026 16:00,30.379589,76.778328,SO2,15,31,22
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",20-03-2026 16:00,30.379589,76.778328,CO,21,50,29
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",20-03-2026 16:00,28.6701,76.9254,PM10,NA,NA,NA
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",20-03-2026 16:00,28.6701,76.9254,NO2,12,13,13
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",20-03-2026 16:00,23.221714,72.654328,PM2.5,17,88,50
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",20-03-2026 16:00,23.59315,72.372792,NO2,25,52,38
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",20-03-2026 16:00,22.410802,73.097923,NO2,13,344,89
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",20-03-2026 16:00,22.410802,73.097923,SO2,3,33,5
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",20-03-2026 16:00,22.248853,70.776774,NO2,8,35,18
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ",20-03-2026 16:00,22.248853,70.776774,NH3,2,3,2
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",20-03-2026 16:00,28.4417,77.3217,NO2,36,39,38
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",20-03-2026 16:00,28.4417,77.3217,NH3,11,12,11
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",20-03-2026 16:00,29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",20-03-2026 16:00,29.503664,75.467934,SO2,10,11,10
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",20-03-2026 16:00,28.422681,77.148944,PM10,1,140,67
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",20-03-2026 16:00,21.217779,72.834787,PM2.5,16,176,50
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",20-03-2026 16:00,22.320153,73.216285,SO2,4,62,14
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",20-03-2026 16:00,22.320153,73.216285,CO,44,58,56
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",20-03-2026 16:00,21.755417,72.139056,SO2,4,22,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",20-03-2026 16:00,23.163798,72.677768,PM2.5,7,42,25
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",20-03-2026 16:00,23.163798,72.677768,SO2,7,16,12
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",20-03-2026 16:00,28.6701,76.9254,NH3,12,13,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",20-03-2026 16:00,28.6701,76.9254,SO2,7,7,7
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",20-03-2026 16:00,23.041137,72.456691,SO2,4,14,6
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",20-03-2026 16:00,28.3419248,77.319699,NH3,3,3,3
